iter	Passed	Remaining
0	78	7734
1	151	7432
2	229	7404
3	306	7367
4	395	7512
5	466	7310
6	535	7112
7	615	7079
8	688	6961
9	752	6774
10	819	6627
11	884	6483
12	957	6405
13	1024	6294
14	1097	6219
15	1166	6121
16	1223	5973
17	1284	5852
18	1346	5738
19	1408	5632
20	1421	5347
21	1440	5105
22	1530	5122
23	1624	5142
24	1713	5140
25	1799	5122
26	1897	5131
27	1981	5096
28	2023	4954
29	2135	4983
30	2149	4784
31	2194	4663
32	2316	4703
33	2326	4515
34	2422	4499
35	2434	4328
36	2531	4310
37	2575	4202
38	2650	4144
39	2773	4160
40	2882	4147
41	2891	3992
42	2979	3949
43	3074	3912
44	3176	3882
45	3272	3841
46	3290	3710
47	3364	3644
48	3465	3606
49	3488	3488
50	3599	3458
51	3697	3413
52	3795	3365
53	3817	3251
54	3938	3222
55	4036	3171
56	4133	3118
57	4237	3068
58	4345	3019
59	4454	2969
60	4550	2909
61	4654	2852
62	4758	2794
63	4851	2729
64	4942	2661
65	5034	2593
66	5044	2484
67	5052	2377
68	5108	2295
69	5117	2193
70	5178	2114
71	5191	2018
72	5265	1947
73	5273	1852
74	5335	1778
75	5409	1708
76	5489	1639
77	5613	1583
78	5715	1519
79	5791	1447
80	5858	1374
81	5929	1301
82	5935	1215
83	6004	1143
84	6066	1070
85	6131	998
86	6213	928
87	6307	860
88	6399	790
89	6519	724
90	6608	653
91	6703	582
92	6802	512
93	6919	441
94	7017	369
95	7100	295
96	7160	221
97	7235	147
98	7309	73
99	7384	0
